rank,PetID,tier,proba_slow,y_true,Name,Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Quantity,Fee,PhotoAmt,Description,Type_str,Breed1_str,Gender_str,Color1_str,MaturitySize_str,FurLength_str,Vaccinated_str,Sterilized_str,Health_str,age_group,has_photo,is_group,Fee_is_free,has_name,tier_order,predicted_slow,y_true_str,n_words_original,n_words_rewritten,description_original,description_rewritten,has_rewritten_description,length_delta_words
244,979d48d7b,High,0.5535301306569889,1,Shorty,1,7,72,2,5,2,1,1,1,1,1,120,25.0,"A very cute, lovely, polite, gentle yet playful darling with super big ears and short legs. haha... She is always cheerful and happy-go-lucky. Able to mingle well kids and family. * I've not heard her bark before... =)",Dog,Corgi,Female,Cream,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,False,True,1,True,Fast,,,,,False,
245,50eddd1bb,High,0.5534838608796446,1,Chelsea And Sherbert,1,31,307,2,1,2,2,1,1,1,2,0,3.0,,Dog,Mixed Breed,Female,Black,Medium,Medium,Yes,Yes,Healthy,Adult/Senior (25+m),True,True,True,True,1,True,Fast,,,,,False,
246,039fea576,High,0.5533818751243158,0,Save ME Or I'll Die #47,1,12,307,3,1,2,1,3,3,2,3,0,1.0,"PLEASE RESCUE/ADOPT ME FROM KLANG POUND OR I WILL BE PUT TO DEATH BY THIS WEEK, 28/3/10. I don't want to die,and I will love you immensely for saving me. Help!!! Please call ----------------------------------------------------- Adoption Procedure: This dog has been caught by Majlis Perbandaran Klang, and if nobody comes forward to adopt it, it will be euthanized within a few days. Even owned dogs are also often caught, and the owners are not aware for it. Those wishing to adopt this pet from Klang Dog Pound, please follow the procedures below: 1. Drive to Pusat Kurungan Haiwan Lebuh Sultan Muhammad Kawasan Perindustrian Bandar Sultan Sulaiman Pelabuhan Klang Tel : (For Sat & Sun, opening hours are 8am - 12pm) 2. Secure a Borang Permohonan Tuntutan Anjing, Selepas Tempoh 7 hari. Complete it & ensure it is endorsed by the relevant officier & stamped with relevant chop. 3. Provide a photostated copy of your Identification Card or Passport with each application * policies & requirements stiffen day by day * Advisable to provide a copy of IC/Passport per application (Just in case) * Secure extra application if there is any inkling of additional adoption. * Don't expect any leniency (Even we committee members, slaves & beggars don't have any unless OK by big guy) 4. Please be compassionate. Put yourself in their shoes: locked inside knowing its over. THEY DO KNOW. 5. I have seen them wasted much close to D days. Don't tell me they didn't undergo heightened enxiety & despair in anticipation of the end. What's worse their owners never came for them. Directions to Klang Dog Pound ================================ 1) Use Kesas Highway 2) Head for North Port till you see the signboard that writes ""Melbourne 14 Days"", then turn Right 3) Keep Left and turn Left at traffic light 4) Stay beside flyover and turn Right at immediate traffic light 5) Drive towards Sultan Sulaiman Industrial Estate 6) Go up first set of flyover 7) Keep Left till you see Pusat Kurungan Haiwan signboard 8) Turn Left 9) Drive on till you see gravel road work beside retention pond at the right 10) Turn in and turn Right till you reach a blue-roofed pound",Dog,Mixed Breed,Mixed,Black,Medium,Short,Not Sure,Not Sure,Minor Injury,Young Adult (7-24m),True,True,True,True,1,True,Slow,,,,,False,
247,abea0e83e,High,0.553329450284123,1,âª URGENT:Fila âª,1,12,307,2,5,2,2,2,1,1,1,0,5.0,"A gorgeous terrier mix homeless girl..Fila was helped by several rescuer friends in spaying and taking care of her, she was abandoned by her ex Indian owner when she was pregnant half year ago, she is now loitering in front of few shop houses but unfortunately she develops habit of chasing vehicle and loves to bark on stranger, shop owner there threaten to throw her to somewhere very soon. We're really very nervous and need to get her a home URGENTLY...JB animal lover who plans to get a pet recently please consider give her a chance to have a home. Thanks.. Interested to adopt? Here's our basic requirement... - Strictly NO tying/caging for long period - Agree to bring her for vaccination - Provide balanced meals and fresh water all the time - Allow for home visit - Love and treat her like your own precious family members Please give a home to Fila ♥",Dog,Mixed Breed,Female,Cream,Medium,Medium,No,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Fast,,,,,False,
248,411bba4e8,High,0.5532016063451286,0,Panda,1,12,307,1,1,2,2,1,1,1,1,0,6.0,"Someone just left 2 puppies at my friend's neighborhood, without the mother dog when thet were about one month old (Nov ). Being treated skin problem at Lian Vet, and is fully recovered... Character: lively, tame, active dog who likes to play. also like human contact such as massage etc..good with other dogs as well. ii. very alert but don't bark much. iii. cute as he is very sensitive to sounds, like to tilt his head to one side. :) training: still training. he already knows ""sit"". very quiet during car ride. Conditions for adoption:- - Annual vaccinations and deworming as well as heartguard protection up to date. - No long hours caging/short leash tying up Panda is very manja, sweet and lovely male dog. not barky type. Please give him a lovely home he deserved. Trial adoption is available. Please call if interested to adopt.",Dog,Mixed Breed,Male,Black,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
249,87e6807c7,High,0.5531993634533316,0,Lily,1,18,307,2,1,2,1,1,1,1,1,0,3.0,"We took in Lily when her owner moved to a new place and decided that Lily shall no longer be part of her family. Lily is a little shy and timid but if in a good home environment, she would be awesome. Once she gained your trust, she will be your best buddy. Our adoption requirement is simple: a) Adopter must be an animal lover and preferably have experience in handling dog. b) No long hour of caging or tied on leash. c) Provide necessary medical needs (vaccinations, deworming, flea/tick/heartworm prevention etc.) d) Walk her regularly with plenty of exercise e) Provide progress update and add us on facebook We hope you can open your heart for Lily. We welcome potential adopters to view her before deciding. Please contact me if you are interested.",Dog,Mixed Breed,Female,Black,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
250,861c903b6,High,0.5531531944180825,0,Elle / Good Morning Sir,1,12,307,2,1,2,1,1,1,1,1,0,2.0,"A rescued pup from Klang pound back in May,. She has been ressurrected from ill health & is on the prowl for game , fun & mock fights. Handsome, yes handsome like a dingo. She is also featureed as "" Good morning, Sir"". please contact me at:",Dog,Mixed Breed,Female,Black,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
251,6ea65996b,High,0.553122533971182,0,Rex,1,9,307,1,2,2,1,1,1,1,1,0,2.0,"active and alert,.. looking for a good home..",Dog,Mixed Breed,Male,Brown,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
252,34dc86aae,High,0.5530561495728129,1,Pokimon,1,12,307,2,1,2,1,1,1,1,1,0,1.0,"Pokimon is an active, enegertic, playful, adventurous n adorable dog. She is a very good watch dog and she not a fussy eater.She know how to sit down first wait for command""go"" before enjoy her food. Found her n brothers sisters in a under construction development area and rescued by a lady. We love her so much but due to certain circumstances, we no longer can keep her and wish that she will find a new owner who will love and take care of her.",Dog,Mixed Breed,Female,Black,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Fast,,,,,False,
253,d7454afee,High,0.5528035695852334,0,FiFi A Good Guard Dog,1,4,307,2,1,2,1,2,2,1,1,0,1.0,FiFi is a good guard dog. But yet kind to other animals in the house. now staying next to the Rabbits of MK house. Contact MK at if you wish to adopt FiFi. MK is a rescuer but could not give the attention and exerice that FiFi needs.,Dog,Mixed Breed,Female,Black,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,1,True,Slow,,,,,False,
254,07cfb3380,High,0.5526625656553842,0,Mystery,1,8,307,2,2,2,2,1,1,1,1,0,1.0,"A very gentle and calm girl with nice fur. Suitable for anyone, even kids! She is definitely eager to be loved. Please give her a forever home.",Dog,Mixed Breed,Female,Brown,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
255,3163e9acf,High,0.5526258334281071,0,Blacky,2,12,266,2,1,2,1,1,1,1,3,50,3.0,They are abandoned cats and now waiting for you to give them a home.,Cat,Domestic Short Hair,Female,Black,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,True,False,True,1,True,Slow,14.0,36.0,They are abandoned cats and now waiting for you to give them a home.,"Blacky is a medium-sized, 12-month-old female Domestic Short Hair cat with short black fur. She is fully vaccinated and sterilized and currently in good health. Blacky is waiting for a loving home where she can thrive.",True,22.0
256,be16b20d6,High,0.5526194759416825,0,Dino White,1,24,307,1,7,2,1,2,2,1,1,0,4.0,"The irresponsible owner refused to claim him from the pound when MPSJ caught all 4 of them. We have gone through all the hassle to claim all of them. He is good-natured & friendly. Makes a good watch dog. He is smart & understands the command 'come'. He is of medium-sized, weighs around 18kg. He has shiny white coat & a pair of soulful eyes. Adopter must be willing to neuter & vaccinate him. *Dino been adopted by KK & Wilson from Puchong*",Dog,Mixed Breed,Male,White,Medium,Short,No,No,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
257,b73cf161f,High,0.5522838313042291,1,Puppy Looking For Good Home,1,3,307,2,2,2,1,2,2,1,1,80,1.0,"Mixed Puppy 3 Months Old Dewormed & Healthy Cute & Smart, Obedient & Know Shake Hands Adoption Fee : Vaccination & Others",Dog,Mixed Breed,Female,Brown,Medium,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,False,True,1,True,Fast,,,,,False,
258,d4427513d,High,0.5522634074875946,1,Cotton,1,36,307,2,7,2,1,1,1,1,1,0,1.0,"Another survivor from Pulau Selat Kering. Gentle, pretty and fairy-like - Cotton is a very lovely lady. She is 3-4 years old, and has a brilliant smile that will take your breath away - as demonstrated in the photo above! She loves a rub-down, and wags her stumpy tail furiously when she is happy.",Dog,Mixed Breed,Female,White,Medium,Short,Yes,Yes,Healthy,Adult/Senior (25+m),True,False,True,True,1,True,Fast,,,,,False,
259,b532e9588,High,0.5522430612656006,0,Rex Boy,1,12,307,1,2,2,2,1,1,1,1,0,1.0,I'm a sharp one mind you :) Alert and ready to guard your home.,Dog,Mixed Breed,Male,Brown,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
260,2023404f9,High,0.5520874257111072,0,Hara,1,12,307,2,2,2,1,3,1,1,1,0,3.0,Me and my friends rescued this dog from being put to sleep. She is still very young dog. She loves to play and active dog. We hope to find a family or someone who can give shelter to her.,Dog,Mixed Breed,Female,Brown,Medium,Short,Not Sure,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
261,c78fa1a45,High,0.5520740132774491,0,Baby,1,9,307,1,1,2,1,1,1,1,1,0,5.0,Rescue from BDKL. Baby is our alpha male and he's a good guide dog as well. His best friend is Megan(adopted). He's very friendly and love to play with people. Pls call Jacqueline to arrange a visit.,Dog,Mixed Breed,Male,Black,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
262,fdd191ba0,High,0.5518596123699897,0,,1,5,307,3,1,2,1,3,3,1,2,0,8.0,have been feeding them for bout 2 months... a male n a female.. heard from the neighbours tat the local councils ppl came... r really woriied bout their safety.. the male r very friendly with humans n the female r a little concious but warm up very quickly... both of them r very tame.. hope to get a lovely home for them as soon as possible..,Dog,Mixed Breed,Mixed,Black,Medium,Short,Not Sure,Not Sure,Healthy,Puppy/Kitten (0-6m),True,True,True,False,1,True,Slow,,,,,False,
263,500728fdd,High,0.5518281189899799,1,Chor Chor,1,8,307,2,5,2,2,1,1,1,1,150,2.0,Very healthy dog. Well taken care of. Owner have to give up due to personal reason. Obedient and friendly.,Dog,Mixed Breed,Female,Cream,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,False,True,1,True,Fast,,,,,False,
264,63a3f229c,High,0.5517918689567876,1,Sunway,1,5,307,1,4,2,1,1,1,1,1,0,10.0,Sunway is our first dog ever whether rescued or surrender who loves the camera. He is a joy to photograph who will just pose quietly and look into your camera.Can you imagine how well you can trauin him and what a loyal pet he will be.He deserves a an owner who coulsd see & appreciates this worthy quality in him,Dog,Mixed Breed,Male,Yellow,Medium,Short,Yes,Yes,Healthy,Puppy/Kitten (0-6m),True,False,True,True,1,True,Fast,,,,,False,
265,f6c91bc20,High,0.5517517150124549,0,Blacky,1,18,307,1,1,2,2,1,1,1,1,0,2.0,Very human friendly and intelligent dog. Abandaned by owner who move to an apartment from a terrace house.,Dog,Mixed Breed,Male,Black,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
266,7ff979d3a,High,0.551658866395254,0,Happy: Abandoned Dog With Lots Of â¥,1,12,307,2,2,2,2,1,1,1,1,0,3.0,"My sister came across an abandoned dog named Happy at a carwash at Bandar Sg Long,Kajang. She's very lovely and most ppl around that area feed her daily. One day, Happy followed my sister home and since then she comes to visit us occasionally. She's so smart that she knows the way back to the carwash after visited our place. My sister will bring her to shower every week. Unfortunately, last week we saw a Chinese man chasing Happy with a stick and threatening that he will poison Happy next time he sees her. We are totally shocked and worry for Happy's safety everyday and night now. Therefore we plan to create a profile at PetFinder.my to find her a forever home. At the mean time, she still hang around carwash which is very dangerous for her. We couldn't adopt Happy as we already have 2 dogs at home. Therefore, we looking for someone who can give Happy a good forever home. Happy has been vaccinated, spayed and dewormed and ready for adoption. Happy is smart, obedient, and likes to get attention from human :-) If you interested to get more info about Happy, please don't hesitate to call Wen Jing on. Thanks!",Dog,Mixed Breed,Female,Brown,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
267,0e1a2937a,High,0.5516352594961866,0,Blossom,1,4,307,2,2,1,1,2,2,1,1,0,2.0,"She is loving, smart,playful and definitely a good guard dog and a great companion for kids and adults. Able to mingle with grown dogs too.",Dog,Mixed Breed,Female,Brown,Small,Short,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,1,True,Slow,,,,,False,
268,b2937acb6,High,0.5515785231822702,0,Candy,1,5,307,2,2,2,2,2,2,1,1,0,1.0,Shes very playfull and smart,Dog,Mixed Breed,Female,Brown,Medium,Medium,No,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,1,True,Slow,,,,,False,
269,c234e165f,High,0.5514924224571518,1,Tammy,1,12,307,2,1,2,2,2,1,1,1,0,6.0,"Tammy is a full black female dog and has been spayed. She is a very calm and a playful dog. Anyone interested to give her a good home, kindly contact me at /. Free transportation can be arranged if you are from KL, Selangor, NS, Melaka or JB. p/s: No tying up or caging or letting her out without leash. Thank you..",Dog,Mixed Breed,Female,Black,Medium,Medium,No,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Fast,,,,,False,
270,1a4d9f6e1,High,0.5514100954162166,0,Nikita,1,4,307,2,2,2,1,1,2,1,1,0,8.0,"Nikita is a very adventurous girl!! She looks ordinary, however she is very smart, alert and an observant! Nikita is very very human friendly and she basically can make friends with anybody within 5 minutes. She loves to seek attention from her human friends, like to ""stick"" to visitors and very sociable. A very good companion dog!! She only can be adopted as a solo dog as she is very dominating but friendly to human who care for her only. Hopefully there are takers for such dogs. Please sms me if you are interested.",Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,1,True,Slow,,,,,False,
271,b1a6fb38c,High,0.5513853424959951,0,Robert (In Cheras Area),1,24,307,1,2,2,2,3,1,1,1,0,0.0,For adoption,Dog,Mixed Breed,Male,Brown,Medium,Medium,Not Sure,Yes,Healthy,Young Adult (7-24m),False,False,True,True,1,True,Slow,,,,,False,
272,f82aa539c,High,0.5513019464615014,0,Vader,1,8,307,1,1,2,1,1,1,1,1,0,3.0,Darth Vader was dumped at the road side by his owner. He has a very clam nature BUT he is a very good guard dog as he is very very alert. Vet says he is small breed max 10kg,Dog,Mixed Breed,Male,Black,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
273,55e32b4b7,High,0.5511689994123069,0,June,1,12,307,2,1,3,1,1,1,1,1,0,2.0,June is a friendly Pet and good guard dog but she is not dog friendly. Therefore she must be the only dog in the family. She is vaccinated and spayed. If you are Interested to look for a good guard dog cum pet. June is your choice. Pls contact Amy,Dog,Mixed Breed,Female,Black,Large,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
274,0fd5ff08e,High,0.5510164590627158,0,MISON,1,39,307,2,2,2,1,1,1,1,1,0,3.0,他是被丢在工业区的宝宝，这里两条街大概只狗狗。因为狗狗太多的关系已经惹得店家的厌恶，被报了两次MPSJ，还被追打，狗狗是无辜的，没人想当一只被人厌恶的狗。 如果狗狗不合你们的眼缘，请求大家问问身边的朋友，狗狗会对你们忠心一辈子，永不背叛。感恩。 蒲種区，雪兰莪。...... WHATSAPP,Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,Yes,Healthy,Adult/Senior (25+m),True,False,True,True,1,True,Slow,,,,,False,
275,f2697fe84,High,0.5509398022925542,1,"Cuteness, The Pearness",1,8,307,2,1,2,1,1,1,1,1,0,2.0,"CUTENESS IS IN PENANG Cuteness, The Pearness is a darling girl that is active, loving and truly, an overall sweetheart. Cuteness, The Pearness is based in Penang. She was found with her brothers and sisters in a market. Unfortunately, the mother had left them there as she was under extreme danger from dog catchers. With no home to go to, she and her brothers and sisters were separated and adopted by many. Unfortunately, her current fosterer is fostering her in a house. People are going to move in soon and the house owner is not happy about it and wish to have something done with her before the people move in. Cuteness, The Pearness is extremely obedient and goes and does her toilet business outside. Overall, she is loyal and hope you will provide her a home as she will make you extremely happy. If you are interested to give her a home in Penang or KL, please call  . This is extremely urgent and your help is much appreciated.",Dog,Mixed Breed,Female,Black,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Fast,,,,,False,
276,511b4a044,High,0.5508984647578832,0,Morrie,1,12,307,2,2,2,1,2,1,1,1,0,4.0,"Morrie is a lovable doggie who will just get attached to you just like that. But, be warned she is an explorer who likes to go on her little adventures. She would be most suitable in a house with space to move freely and have no little animals. She gets along very well with other dogs. Strictly no letting Morrie out on her own. Only on leash accompanied by the owner.",Dog,Mixed Breed,Female,Brown,Medium,Short,No,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
277,72f891e55,High,0.5508641370742705,0,Lingga,1,15,307,1,2,2,1,1,1,1,1,0,1.0,Name : Lingga Age : 1 1/2 years Size : Medium Gender : Male,Dog,Mixed Breed,Male,Brown,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
278,56b63bfb3,High,0.5506884084150694,0,Lili,1,8,307,2,2,2,1,1,1,1,1,0,8.0,Lili is Haley's daughter and also fat fat's sister. She's very friendly and lovely.,Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
279,5b4745340,High,0.5505296553421225,0,Nimbus,1,8,307,1,1,2,2,1,1,1,1,0,3.0,"About Nimbus : - Nimbus was rescued in Klang three months ago. He was lost and seeking shelter in a guarded apartment. The residents were not too pleased with his presence. They removed him once but he found his way back to the apartment. They planned to call the council to catch him. Nimbus is active and love attention. He is extremely alert and is a candidate of a good guard dog. Nimbus however, doesn't seem to enjoy human contact very much and may react when he gets annoyed. Adoption requirement : a) Adopter will need to be patient and willing to spend time to train Nimbus. b) Adopter must be an animal lover and preferably have experience in handling dog. c) No long hour of caging or tied on leash. d) Provide necessary medical attention. e) Allow visitation for us to follow-up on Nimbus when requested. All potential adopters are welcomed to view Nimbus before deciding.",Dog,Mixed Breed,Male,Black,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
280,ead9fb6b7,High,0.5504857582643586,0,Skipper T.,1,12,307,1,2,2,1,1,1,1,1,0,1.0,i'm a sharp one mind you :) alert and ready to guard your house!,Dog,Mixed Breed,Male,Brown,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
281,9ca5f1891,High,0.5504220579745946,0,HAPPY,1,48,307,2,1,2,1,1,1,1,1,0,3.0,他是被丢在工业区的宝宝，这里两条街大概只狗狗。因为狗狗太多的关系已经惹得店家的厌恶，被报了两次MPSJ，还被追打，狗狗是无辜的，没人想当一只被人厌恶的狗。 如果狗狗不合你们的眼缘，请求大家问问身边的朋友，狗狗会对你们忠心一辈子，永不背叛。感恩。 蒲種区，雪兰莪。....... WHATSAPP,Dog,Mixed Breed,Female,Black,Medium,Short,Yes,Yes,Healthy,Adult/Senior (25+m),True,False,True,True,1,True,Slow,,,,,False,
282,6bb85e53d,High,0.5504076912001928,1,"Posie, The Super Posery",1,6,307,2,1,2,1,1,2,1,1,0,4.0,"Hi, A beautiful, sweet, loving, clever and super darling girl up for adoption. Posie is a sweet heart that has a beautiful smile. Meet Posie, The Super Posery. Posie was found near a POS Malaysia post office and the day she was found is the day, she decided to pose. She may have been abandoned or even, left there to fend for herself. Either way, we don't know her history. Posie is a bit timid but she is also very friendly. Posie loves to play! She gets along with all dogs and love to play with them. Posie even loves one-to-one play sessions with another dog (the breed is of no issue). She likes to jump! Just throw a stick up in air and she will leap and catch it! Great fun! Right now, all Posie needs is a home and family. She deserves to be happy and you will be happy once you get to know or love her. Please provide a loving home for her as she will make you a very happy person. Ps. Would prefer people who allow us visitation rights as we want to ensure she is taken care off. Pss. If spaying can be done, that will be good as she will stay healthy for a long, long time.",Dog,Mixed Breed,Female,Black,Medium,Short,Yes,No,Healthy,Puppy/Kitten (0-6m),True,False,True,True,1,True,Fast,,,,,False,
283,73066f6ff,High,0.5503951933038336,0,MADGE,1,20,307,2,1,2,2,1,1,1,1,0,2.0,"紧急，谁能帮忙领养，6只死剩2只，4只被人淋热水死了，可可色～母，黑白色～公，请求帮助感激不尽。 Emergency, who can help adoption, 6 left, two dead, four were dead coz people poured hot water on them,cocoa color - female, black and white - the public, asking for help grateful...",Dog,Mixed Breed,Female,Black,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
284,798f4a1e4,High,0.5503368817837356,0,K-6 Meeeeeeeeeeeeeeeeee!,1,12,307,2,2,2,2,3,3,1,1,0,3.0,"cute compact and loving. please take meeeeeeeeeeee :) ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """,Dog,Mixed Breed,Female,Brown,Medium,Medium,Not Sure,Not Sure,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
285,bf87b176d,High,0.5502666010066224,0,Abby,1,7,307,2,1,2,1,1,2,1,1,0,4.0,"Abby is a very friendly and adorable dog. She loves human attention too. Future adopter must spay her once she is adopted(we will come and check). No caging or chaining is allowed, Abby must be allowed to run freely in the house compound. Only serious adopters will be entertained. *Abby is currently resided at LASS Shelter in Bestari Jaya.*",Dog,Mixed Breed,Female,Black,Medium,Short,Yes,No,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
286,a1543decd,High,0.5501379789415661,1,Snoopy,1,7,307,2,7,2,2,1,1,1,1,200,5.0,Snoopy is rescued from Cheras and a little darling that bring joy to the people around her. She enjoy running around and very athletic. ** adoption fee of RM is for the reimbursement for spaying and vaccination fee.,Dog,Mixed Breed,Female,White,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,False,True,1,True,Fast,,,,,False,
287,f557e9262,High,0.5501312737457555,0,,1,12,307,2,2,2,1,2,1,1,1,0,4.0,"She is trapped in a car park,very thin,outside the car park is a very busy road,she is either starve to death or go out and hit by a car,so i bring her out but i can't adopt her because i stay at apartment.i've brought her to clinic and sprayed her. She is active,smart and has a pair of beautiful eyes. .Anyone wants to adopt her and give her a chance to be loved again?",Dog,Mixed Breed,Female,Brown,Medium,Short,No,Yes,Healthy,Young Adult (7-24m),True,False,True,False,1,True,Slow,,,,,False,
288,207c30391,High,0.5497738578284308,0,Alex,1,26,307,1,2,3,1,1,1,1,1,0,6.0,有人可以給孩子們一個家嗎？ 有養狗經驗者優先 Whatsapp。....... 。...,Dog,Mixed Breed,Male,Brown,Large,Short,Yes,Yes,Healthy,Adult/Senior (25+m),True,False,True,True,1,True,Slow,,,,,False,
289,0164a9cfb,High,0.5497488921485656,1,Heydee,1,9,307,2,1,2,2,1,1,1,1,0,7.0,"Heydee was found wandering aimlessly on the street like a lonely, hungry and thirsty dog 2 weeks ago. Her wounded and rugged condition caught my attention- flea, lice and tick infested, with lots of bleeding & weeping wounds all over her body. Despite her painful condition, she was a very happy, cheerful, energetic, positive attitude doggy, the tail wagging all the time. So I brought her to the vet, dewormed, deflead, deticked, vaccinated, spayed. I even shaved all her hair to allow the wounds to heal and so the new beautiful hair could start to grow. She's a beautiful, strong, healthy happy puppy now. Heydee is a very smart alert dog, she learned how to ""sit"" on command in just a few minutes. She's very adorable, cheerful, happy-go-lucky, well-disciplined. I already have 4 big dogs, I can no longer afford to foster her. Please find a home for this adorable chap. She's now staying in a temporary shelter, after 2 weeks I would have no place for her, with no choice but to return her to the streets. Please help, find her a home. She's very friendly to everyone, a good companion & perhaps guard dog too. She's 15kg. If you love dogs and are looking for a companion dog, to walk with you, exercise with you, play with you, cheer you up, destress, turn your mood around - she's the one for you. Cuddle her long hair and destress while massaging her (she loves massages).",Dog,Mixed Breed,Female,Black,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Fast,,,,,False,
290,abafdc972,High,0.5495789674689903,0,Unknown,2,24,266,3,1,2,2,3,3,2,4,50,1.0,"saya jumpa kucing ni di area tempat kerja saya , kesian tengok ade 1 ibu dgn 3 anak dia .. mesti dorg kelaparan sbb dok kt luar je.dlm kotak pulak tu.if ade yang boleh adopt pls call num i..tenkiu",Cat,Domestic Short Hair,Mixed,Black,Medium,Medium,Not Sure,Not Sure,Minor Injury,Young Adult (7-24m),True,True,False,True,1,True,Slow,39.0,54.0,"saya jumpa kucing ni di area tempat kerja saya , kesian tengok ade 1 ibu dgn 3 anak dia .. mesti dorg kelaparan sbb dok kt luar je.dlm kotak pulak tu.if ade yang boleh adopt pls call num i..tenkiu",This 24-month-old Domestic Short Hair cat is medium in size with medium-length black fur. The cat’s gender is mixed. A minor injury has been observed. This cat was found with one mother and three kittens in an outdoor area and was subsequently placed in a box. A loving home is sought for this cat.,True,15.0
291,1f9b856e0,High,0.5495508720215913,0,Bay Ravan,1,48,307,1,1,3,2,3,2,1,1,0,2.0,"He was tied to a pole in a run down house in our taman. He was mistreated so i took upon myself to feed and care for him. I have 4 pets of my own so i could not take him in. When this house was bought and renovated, i approached the owner if he wanted to rent and he said ok. Since then i have adopted this fellow and he stays with the other stray dogs that i have rescued past 6 months.. Very active fellow and wants to run around a lot. I take him for jogging sometimes and he likes that.Good guard dog and very loving to people he knows.He is healthy and no ticks or mites and nice coat of hair.",Dog,Mixed Breed,Male,Black,Large,Medium,Not Sure,No,Healthy,Adult/Senior (25+m),True,False,True,True,1,True,Slow,,,,,False,
292,788e8757d,High,0.5493527934443632,0,Mia,1,9,307,2,7,2,2,1,3,1,1,0,3.0,She's a sweet curious girl thats socialble and looking for a good home!,Dog,Mixed Breed,Female,White,Medium,Medium,Yes,Not Sure,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
293,a3d9bc3aa,High,0.5492553902743935,0,Elfie,1,5,307,2,1,1,1,1,1,1,1,0,4.0,A loving puppy who make a good companion for families and individuals. Gets along with other dogs really well. Has been trained to walk on a leash . Please send a text message to if u are interested to adopt Alfie.,Dog,Mixed Breed,Female,Black,Small,Short,Yes,Yes,Healthy,Puppy/Kitten (0-6m),True,False,True,True,1,True,Slow,,,,,False,
