rank,PetID,tier,proba_slow,y_proba,y_true,Name,Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Quantity,Fee,PhotoAmt,Description
411,09c00211e,High,0.5387431080884606,0.46125689191153946,0,D2,1,12,307,1,1,2,2,1,3,1,1,0,2.0,"Sorry, the photos did no justice to D2. His head is hound-like. So is his built. His buddy is a male Tabby cat & is naturally called R_2. Well, He lives each day fully. Why shouldn't he ? He survived & not put down as scheduled in Klang for the 5th of May,."
412,49d4a0adf,High,0.5386901656943032,0.46130983430569683,0,Dandy,1,7,307,2,2,2,2,1,2,1,1,0,4.0,"Very active and playful puppy. Good guard dog with loud barking sound. Interested adopter, please contact me : Nisha"
413,070faf086,High,0.5386041992146856,0.4613958007853144,1,Soft Golden Fur.. Spirited Eyes,1,5,307,2,2,2,2,3,2,1,1,0,3.0,"her fur is so soft, it's like cotton when she cups your hand and plays with you. A very special dog that did not deserve to be abandoned. No dog does. She's a keeper looking for a loving home."
414,db5a260fa,High,0.5385029001579597,0.46149709984204035,0,Dobby,1,3,307,2,1,2,1,1,1,1,1,0,5.0,"Lovely puppy looking for a home sweet home. Alrdy vaccinated, dewormed and spayed. Ready to go to a home. If u are intetested pls contact Amy"
415,4c74d479c,High,0.5382878483933762,0.4617121516066239,1,Super Loving Bengal,2,10,247,1,1,1,1,1,1,1,1,0,3.0,"Beautiful Pure Breed Spotted Bengal for Adoption Gender: Male Age: 10 months Color: Golden Spotted Adoption Fee: Free to good loving indoor home All Vaccines up to date Super friendly, active, extremely loving cat. Has been neutered. Looking for a good indoor pet home. CALL / WHATSAPP Billy FOR FURTHER INFO Can deliver to Penang, Ipoh, KL free of charge."
416,d08d2829f,High,0.5379652451048027,0.4620347548951973,0,Bambi,1,12,307,2,3,2,2,2,2,2,1,0,5.0,"Bambi was found in the middle of the road in Segambut in the evening (near KTM Segambut) and was pushed to the roadside by a kind man. At night, I went to the location to meet up with Geetha (the person who posted online in several animal rescue Facebook) to take the dog home first. We managed to get her into a cage by midnight - she was feisty and tried to bite us. She couldn't walk by then. The next morning, my bro and I took this dog to the vet and was told that the dog had broken spine that caused the hind legs to be unresponsive. We were told to put her down to avoid suffering. We didn't want to give up on her when she still tried to bite us whenever we touched her back. She still wanted to live. We took her to another vet and had scanned - she had dislocated spine, not broken, there was some nerves still as her toes did pull back when the vet pinched hard (really hard). She had lots of maggots, some were plucked by the 1st vet place, some by me (eee) and by the 2nd vet place. We used Magtox spray on her, applied med and cleaned the wound around the back of the neck. 2nd vet suspected her neck was chained or pulled with sth tight and the dislocated spine was from longer duration than the accident timing. Now her neck wound has healed with fur covering the area. Her hind legs are not moving mostly but when we pinch her toes, she would pull back her legs. Since June, she has been and is currently fostered at KL Pooch Rescue, Cheras to get swimming (once a week) and physiotherapy. I've been taking her to acupuncture sessions a few time per month to help with the pain and hopefully, she can walk soon. She is not easy to take care of. She will need love, patience and exercise for hind legs. She loves to shred papers and is ok with cats & dogs. Adopter to cover vaccination, dewormed and spaying. Facebook gallery (contains wound):"
417,cc0eced0d,High,0.5379437252565425,0.46205627474345745,1,Mugen,2,12,266,1,3,2,1,1,1,1,1,0,2.0,Mugen is a very friendly and loving cat who needs a new home. We rescued him from the street when he was starving. Now he is a strong healthy cat who likes to play and cuddle with us. He is nice to all people and other cats. He is neutered and vaccinated. Free to a good home.
418,a37c82165,High,0.5379434321676685,0.4620565678323315,1,Doggie,1,12,307,1,2,3,1,2,1,1,1,0,1.0,"This dog was once owned by my neighbour when it was a puppy. When it grew big, and they have a baby sitting business in the house, they decided to abandon it. And they abandoned it right outside their house. However, the loyal dog slept outside their house for months, rain or shine, hoping to get back in. It grew thinner day by day, until I decided to take it in. This chocolate brown dog is very smart and loyal. It learnt simple tricks within a day, e.g. ""sit"", ""paw"" and ""lie down"". It could also ""fetch"" but it would need a bit more persistent in training from the new owner to perfect this. He has been nursed back to full health and fit body condition. He has also been neutered. But not yet vaccinated. Those who are interested, please contact Iris at (Puchong)."
419,18810b958,High,0.5379028715380391,0.46209712846196094,0,Multy & Xanie,1,4,307,2,1,2,2,1,3,1,2,0,5.0,Multy and xanie lovely to female dogs well behaved know some commands vaccination paid for all but one done three to go Healthy and active can be viewed! Super friendly towards humans Reason to let go moving to a new house that doesn't allow pets :(
420,8910f2f5e,High,0.5378000063812749,0.4621999936187251,1,MILO,2,12,266,1,2,2,1,1,1,1,1,0,11.0,"MILO IS A MIXED BREED. I safe him at midden one year ago,now he is healthy and adorable ,need a home."
421,cfebb0955,High,0.53777244930957,0.46222755069043,0,Brownie,1,2,307,2,2,2,1,2,3,1,1,5,2.0,cute and clever
422,e6d358f70,High,0.5377400328999635,0.4622599671000365,1,Russia,1,5,307,2,1,2,1,1,2,1,1,0,2.0,No caging or tying for long hours except for precautionary purposes. commitment to spay her is compulsory Interested to adopt pls call or sms Amy 
423,ee5ceb065,High,0.5375778148851329,0.46242218511486705,0,Abandoned Puppies,1,12,307,3,1,1,1,3,3,1,3,0,3.0,"abandoned at SS 3 kelana jaya shops area. Seems healthy ,Fed by shop tenants. In danger of being run over,caught by dog catchers"
424,063d8c58b,High,0.5375641168759264,0.4624358831240736,0,HORLICK,2,10,266,1,1,2,1,1,1,1,1,0,16.0,"I save him at pasar pagi amost a year,now he is adorable and healthy ,need a home sweet home.HE IS CUTE."
425,2885ade43,High,0.5375429665779061,0.46245703342209393,0,,1,4,307,1,3,2,2,1,1,1,1,300,4.0,ROY IS SO FRIENDLY HE LOVES TO PLAY. AND HE NEEDS SOMEONE TO TAKECARE OF HIM. PLEASE CALL OR MESSAGE THE NUMBER.
426,2b7509f97,High,0.5374393290878801,0.46256067091212,1,Chanel,2,30,266,2,5,2,2,1,1,1,1,1,1.0,I found them at my condominium area while they were still kittens. They are friendly and obedient cats. I'm looking for a new owner who loves animal dearly.
427,14398288b,High,0.5374381737646088,0.46256182623539116,0,Belle Belle,1,4,307,2,7,2,1,1,2,1,1,0,12.0,"This cute lil puppy is up for adoption! I saw her at the vet & thought that she looks like BOLT. Trust me, she really looks like smaller-eyes-version Bolt. This lousy pic of her doesnt justify how cute she is! My friend had adopted her for nearly 2 months. He gave up on her due to her extremely submissive nature. She does well with other dogs but not so much with human. This is because she used to be a strayed puppy before someone picked her up & sent her to the vet. My friend is not a patient owner. He doesnt like the fact that she runs away everytime we go near her. She loves eating & will only come to you when you have food. Although she is a very submissive dog, she still greeted us when we came back from work. At the moment, she is a dog's dog & not so much of people's dog. She doesnt bark much unless she is playing with other dogs. She gets along very well with one of my mongrel dog. So i assume that she has no problem getting along with other dogs. Please bear in mind that she is not a people's dog as she was a strayed dog previously. I m looking for a very patient & loving owner who is willing to spend time with her & take care of her so that she is not reluctant of interacting with human being. Pls do not give up on her due to her submissive nature. I believe that she will eventually gain more confidence & be a really good companaion!"
428,4f9031dce,High,0.5373528591021466,0.4626471408978534,0,,2,3,265,3,1,2,2,2,2,1,3,0,0.0,"Three street kittens, all about 3 months old. One fully black, another cream with vague brown spots, the third also creamy and brownish. Of very mixed parentage. Just recently discovered and in need of good homes."
429,2fcdfb0e1,High,0.5373441735558802,0.4626558264441198,0,Milk,1,4,307,2,5,2,2,2,2,1,1,0,2.0,She is a stray dog but very friendly .
430,ee2e82f01,High,0.5370097500805493,0.46299024991945065,0,Norman,1,18,307,1,2,2,2,1,1,1,1,50,5.0,"Norman was passed over to our dog shelter when his owner was too busy to take care of him. He is a very gentle fella, has a very good personality, can get along well with young or old dogs. He is sociable and loves people. Norman deserves a better home than a dog shelter, please give him a home so he can be well taken care of. Please call Mrs Lai or Kim . Or come to our dog shelter at 3 1/2 Mile Old Klang Road to view him. Email for location of Second Chance dog shelter. Please help sheltered dogs!"
431,11aa441fe,High,0.5369804408237997,0.4630195591762003,0,Sassha,1,3,307,2,2,2,1,1,1,1,1,0,3.0,Lovely puppy looking for a home sweet home. If are intetested to adopt pls contact Rachel
432,2581f9792,High,0.5367232297516398,0.46327677024836017,0,Unknown,2,3,266,2,2,2,1,3,3,1,1,0,0.0,"This kitten is a stray very friendly and loves going into people's homes. Its been outside my hse for the past 2 days. I feel sorry for this little girl. i feed her but cannot let her in, i have just given away 4 kittens and my husband is dead against strays. Please help me find her a good home. I will post her pictures soon. But trust me she is well and very pretty. I can delivery anywhere in the Klang and Shah Alam area. Pls sms me at. Tq."
433,7390b70c5,High,0.536592406408898,0.463407593591102,0,â¥ ..Emmie.. â¥,1,7,307,2,1,2,1,1,1,1,1,0,7.0,"Introducing pretty little Emmie! -------------------------------------------------- ♥ Female puppy, 7 months old, has a sleek black & tan coat with floppy ears. ♥ Emmie (just like her already adopted mates Prada and Louis) had a rough start as a puppy. She was locked up and fostered in only a tiny toilet as her ""home"" for 4 months. This is where she ate/slept/poo/pee-ed. She lived with near zero outside world or human contact and this eventually took a toll on her confidence. ♥ Emmie was later rescued (with mange, fleas, and all sorts of physical problems). The biggest damage of all was her broken spirit...she had little to no trust towards humans. -------------------------------------------------- ♥ Emmie has been under proper foster care and all her medical problems have been resolved. She has proven herself to be a very curious and eager girl! She loves to be pet, asks for more, enjoys treats, play and her evening walks. She gets better the more time you spend with her! ♥ Emmie is friendly towards other dogs (only needs a few days to adjust). She is VERY alert and started barking at strangers within just one day of staying at her foster home. She will make a good watch-dog (not a guard dog). ♥ Emmie is a near hassle free girl to care for. :) She is independent, un-demanding, not hyper and never fussy about food. She also knows how to use the grass patch as her ""potty"", no messes. ♥ Emmie is looking for a loving new family who can give her the time, patience and love which she was deprived of as a puppy. -------------------------------------------------- Please read (Note for Adopters): - Emmie should not be leashed or caged (unless it's for very temporary needs). She is a freedom loving girl. Please drop me a call or email if you feel that you may be just the right person to give this darling a second chance. Thank you!"
434,4c40ad026,High,0.5365394456543213,0.46346055434567873,0,â¥ Emma â¥,2,7,303,2,1,2,2,1,1,1,1,0,5.0,Emma was found trapping in a drain in a heavy raining day when she was about 2months old. But sadly until now she still couldn't find a good home.. Emma is a super cute girl and most of the time looks like a bear. Has a good temperament and able to mix with the other cats well. Is manja with human (ˊ● ω ●ˋ) ♥♥ Interested to adopt? We wish adopter would agree to do so.. - Strictly NO caging for long period - Agree to bring adopted pet for yearly vaccination - Provide balanced meals and fresh water all the time - Allow for home visit - Love and treat adopted pet like your own precious family members Please give a home to Emma ♥
435,05dc47bda,High,0.5363073599922484,0.46369264000775157,1,Handsome Boy Seeks Home,1,6,307,1,1,2,2,1,1,1,1,0,5.0,"Dog was found abandoned, even though he's such a handsome looking boy. He's intelligent and can easily be trained. But he is very active (as all young boys are), so would need someone with more active lifestyle and could spend more time for him. Preferably not be left at home alone for long periods of time, as intelligent dogs need to constantly keep their minds occupied."
436,d3832783a,High,0.5360869110865736,0.46391308891342636,1,Buddy & Sparkle,2,9,266,3,1,2,1,2,2,1,2,10,5.0,"Sparkle and Buddy are two very sweet kittens. They are very lovable and enjoy snuggling on laps. They are both great purrers and enjoy attention. Sparkle is a chatty girl while Buddy is a quiet boy. Their mother was rescued off the street when she was pregnant and gave birth and raised them and their siblings in a loving home. They get along well with other cats. Buddy and Sparkle are siblings who are close, so it would be preferable to adopt them together but they are independent enough to go to separate homes if you are interested in only one. They are both litter box trained and eat wet and dry food. Please whatsapp if you are interested in adopting them and would like to find out some more info :)"
437,06666dc09,High,0.5360089040185043,0.46399109598149574,0,ROYY,1,4,307,1,3,2,2,1,1,1,1,0,3.0,Roy is really a friendly dog Reason is that travelling I cant leave him for longterm. Please call this number
438,161de24f6,High,0.535888028467575,0.464111971532425,1,Tora,1,8,307,2,1,2,3,1,1,1,1,0,7.0,She was seen wandering around a hawkers' centre for a few days. Believed to be a lost dog or dumped by irresponsible owner. Understands simple instructions and friendly to humans but does bark when stranger comes near gate. Is an alert dog. She is quite small in size. Can be an indoor dog if you want her to. No tying or caging for long hours except for precautionary purposes. Serious adopter pls call 
439,59ad17125,High,0.5357557181276449,0.46424428187235506,1,WHITE & ZACK,2,4,266,3,1,2,1,1,3,1,2,0,2.0,"Hi Meet White and Zack. They're siblings about 3-4 months old. The reason I want to find them a new home is that they are always being threatened by the big cats around the house. I also have 2 adult cats at home. Both White and Zack are very playful. Their mom is a Siamese Khao Mnee. White is so much like her mother with bright blue eyes; while Zack is black & white with dark blue eyes. Both are also not nursing anymore and are litter trained. I may be in Johor. But if the adopter is serious about adopting, we can arrange for the delivery around Putrajaya and Kuala Lumpur If you want to take them home together / seperately, give me a call / whatsapp / sms for further enquiries.."
440,89f229ee8,High,0.5355497066179812,0.4644502933820188,1,Tee Tee,1,11,307,1,1,2,1,1,2,1,1,0,4.0,"Tee Tee is able to understand basic commands. He's intelligent, active and handsome. His front paws are both white; making him look like he is wearing gloves (very cute). Hope that you are willing to give him a forever home :)"
441,ef70f3263,High,0.5355309972214244,0.46446900277857556,0,Jojo And Joji,2,5,266,3,7,2,1,2,3,1,2,0,4.0,Commitment too many till need an adoption. Male: Joji Female: Jojo
442,5314d64ac,High,0.5355020469201595,0.46449795307984054,0,Lucy,1,4,307,2,1,2,1,1,2,1,1,0,2.0,"Lucy is a very friendly and adorable puppy. She loves human attention and playful too. Future adopter must spay the puppy when she is 5 months old (we will come and check). No caging or chaining is allowed, puppy must be allowed to run freely in the house compound. Only serious adopters will be entertained. *Lucy is currently resided at LASS shelter in Kuala Selangor.*"
443,bfdc4cd9d,High,0.5354224670670369,0.46457753293296306,0,Baby,1,5,307,2,1,2,1,3,3,1,1,0,1.0,"Healthy,active but shy girl"
444,733ccdc63,High,0.5354114270835069,0.4645885729164932,0,Molly,1,4,307,2,2,2,1,1,2,1,1,0,2.0,"Molly is a friendly and sweet puppy. She loves human attention and very playful too. Future adopter must spay the puppy when she is 5 months old (we will come and check). No caging or chaining is allowed, puppy must be allowed to run freely in the house compound. Only serious adopters will be entertained. *Molly is currently resided at LASS shelter in Kuala Selangor.*"
445,fc3fbbb99,High,0.5350811057795378,0.4649188942204622,0,Kiki,2,12,266,2,1,1,1,1,1,1,1,100,3.0,Umur 1 tahun. Betina dan telah dimandulkan. Makan tak cerewet. Biasa dikurung dan pandai menggunakan pasir kucing. Untuk yang sayang kucing sahaja. Whatsapp jika berminat untuk menjadi tuan baru kepada kucing ini. Terima kasih.
446,f04c098ed,High,0.5348557364944052,0.4651442635055948,0,Keesha,1,5,307,2,1,1,1,2,2,1,1,0,5.0,"Found this orphaned puppy. She is friendly, active, and good with cats. She hasn't been spayed yet, but we can pay for her spaying. If you are interested, leave a message at, in case I do not answer immediately."
447,3589a8a0d,High,0.5347385466497727,0.46526145335022734,0,Fernando,2,11,266,1,1,3,1,1,3,1,1,0,0.0,This is Fernando.He very Charming & friendly.He can be a good friend..
448,abc69ab7f,High,0.5346473285184599,0.4653526714815402,0,Ashley,1,30,69,2,2,2,2,1,1,1,1,350,2.0,"Ashley is a very super active and smart girl. She was abandoned by her owner. I couldn't take her in anymore as I have four dogs at home now. I hope I could find a good loving home for her. Requirements: -Must agree to bring her for yearly vaccination. -She needs to be spayed. -Must provide her regular nutritious and balanced meals. -Must have time to spend with her. -Do not caged or leashed her unless it is necessary. -Allow for home visits.. RM of adoption fees include vaccination, spaying and deworming. If you're able to give her a loving home, kindly contact me."
449,ab94fb958,High,0.5345851190117594,0.4654148809882405,0,White Terrier,1,24,218,2,7,2,2,3,3,2,1,0,0.0,he was found by my customer at LEKAS highway...one of his leg is injured..according to the vet he sprained his ankle n is currently on medication..the vet said he will be fine n able to walk as usual after he finishes the medication...
450,3928a4b23,High,0.5345845501524262,0.46541544984757377,0,âª Moji+Mango Ice+Mixed Fruit âª,2,4,266,3,1,2,2,2,2,1,3,0,9.0,"Adoption fee is a pack of cat food regardless of size, brand or price. This helps us to feed the strays and so we're able to help more homeless animals. *** It's a MUST for adopter to bring adopted pet for vaccinations and NEUTER/SPAYING surgery. TQ*** This 3 adorable kittens were born at our house's back alley, we've spayed all the female stray cats there except one who's real difficult to trap and she gave birth to the babies months ago. Moji, Mango Ice and Mixed Fruit was very timid and refused to get near to human at first but after months of daily feeding they became friendly to us but will still bit afraid of strangers. Adopter needs to give them some times to get used to you and your house at the beginning. Mixed Fruit is baby girl and Moji,Mango Ice is baby boy. Interested to adopt? We wish adopter would agree to do so.. - Always keep cat indoor all the time - Agree to bring adopted pet for yearly vaccination - Provide balanced meals and fresh water all the time - Allow for home visit - Love and treat adopted pet like your own precious family members Please give a home to them ♥"
451,be84c367d,High,0.5344428890007356,0.4655571109992645,0,Puppies,1,1,179,3,1,2,2,2,2,1,5,0,0.0,Cute and active dogs..
452,2ff9e9534,High,0.5343019314610101,0.4656980685389899,1,Vicky,1,3,307,2,1,2,1,1,1,1,1,0,5.0,"Vicky is very friendly, active and playful. Her photos was taken 2 weeks ago. Now her fur is much more shinning after bath and take good care of her. If interested to give her a good home, pls do call to arrange a visit."
453,19abfb0c6,High,0.5342641552432248,0.4657358447567752,0,Gray,1,3,307,2,6,2,1,1,1,1,1,0,5.0,"She is really active and friendly. Has a lot of experiences with other humans and other dogs. Very smart and capable of being a loyal obedient dog if trained properly. Very strong instinct and always aware of strangers. Would be perfect family dog and companion. She is potty trained on grass, knows how to sit and wait. Gray is the daughter of one of my adult dogs, she was born in my house and was taken care off since birth by me as the owner. She has had a lot of experience with human contact and plays often with my other dogs at home making her extremely social. However, I can no longer support gray as I have too many dogs at home and she would lead a much better life if someone can offer a forever home with undivided attention to her. If I cannot be reached through a phone call please don't hesitate to message or what's app me so I can get back to you !"
454,abfad94f2,High,0.5341058338833873,0.4658941661166128,0,Save ME Or I'll Die #49,1,1,307,3,1,2,1,3,3,2,4,0,1.0,"PLEASE RESCUE/ADOPT ME FROM KLANG POUND OR I WILL BE PUT TO DEATH BY THIS WEEK, 28/3/10. All the puppies have been adopted except for mum. She is small less than 10 kg weight & is pure white in colour. ----------------------------------------------------- Adoption Procedure: This dog has been caught by Majlis Perbandaran Klang, and if nobody comes forward to adopt it, it will be euthanized within a few days. Even owned dogs are also often caught, and the owners are not aware for it. Those wishing to adopt this pet from Klang Dog Pound, please follow the procedures below: 1. Drive to Pusat Kurungan Haiwan Lebuh Sultan Muhammad Kawasan Perindustrian Bandar Sultan Sulaiman Pelabuhan Klang Tel : (For Sat & Sun, opening hours are 8am - 12pm) 2. Secure a Borang Permohonan Tuntutan Anjing, Selepas Tempoh 7 hari. Complete it & ensure it is endorsed by the relevant officier & stamped with relevant chop. 3. Provide a photostated copy of your Identification Card or Passport with each application * policies & requirements stiffen day by day * Advisable to provide a copy of IC/Passport per application (Just in case) * Secure extra application if there is any inkling of additional adoption. * Don't expect any leniency (Even we committee members, slaves & beggars don't have any unless OK by big guy) 4. Please be compassionate. Put yourself in their shoes: locked inside knowing its over. THEY DO KNOW. 5. I have seen them wasted much close to D days. Don't tell me they didn't undergo heightened enxiety & despair in anticipation of the end. What's worse their owners never came for them. Directions to Klang Dog Pound ================================ 1) Use Kesas Highway 2) Head for North Port till you see the signboard that writes ""Melbourne 14 Days"", then turn Right 3) Keep Left and turn Left at traffic light 4) Stay beside flyover and turn Right at immediate traffic light 5) Drive towards Sultan Sulaiman Industrial Estate 6) Go up first set of flyover 7) Keep Left till you see Pusat Kurungan Haiwan signboard 8) Turn Left 9) Drive on till you see gravel road work beside retention pond at the right 10) Turn in and turn Right till you reach a blue-roofed pound"
455,e0dbd7901,High,0.5340596605816561,0.4659403394183439,0,George,1,13,307,1,1,1,3,1,2,1,1,220,6.0,"Since birth, this young dog lived with a Chinese family. It guards the house outside, loves outdoors. Small breed. Shiny black and elegant."
456,8e2335bf5,High,0.5340390727521156,0.4659609272478844,1,Johnny,1,12,307,1,1,2,1,2,2,1,1,0,5.0,"Jhonny is a 1 year old medium size male dog. Hes very active, playful and he can be a very good watch dog. He is good in hunting also. Currently, I am fostering him at my working place which is a farm. Anyone interested to give him a good home, kindly contact me at /. Please take not that he should not be caged or tied up since he is used to run freely at the farm. Thank you.."
457,12537b530,High,0.53400202984096,0.46599797015904004,0,Puppies,1,1,307,3,1,2,2,2,2,1,7,0,0.0,"I have 7 puppies at home now and would like to find a fosterer to them. They are active, healthy and very cute puppies with medium long fur length. For those who interested to adopt a puppy kindly call me or drop a message to me :)"
458,80fcac43d,High,0.5338856968276413,0.46611430317235863,0,Need Urgent Home..pls Adopt,1,2,307,2,1,2,1,1,2,1,1,0,28.0,i am a manjanitis. i love my blue ball and red carpet. i am paper trained and love to chase after my tail.....i love to have a chance to love you... i am growing fast but still adorable...... The people next door is starting to complain.....I need an urgent home to stay.....pls help me.... Thank u
459,3f2785c07,High,0.5338056312096472,0.4661943687903528,0,3 Sweet Kittens (5 Months Old),2,5,266,3,4,2,1,2,1,1,3,0,3.0,"3 very friendly , gentle and sweet 5 month old kittens for adoption. Location at Bangi, Selangor. One orange kitty, One tuxedo kitty (white/black) & one white/grey kitty These kittens are healthy and very well behaved."
460,f4cff3785,High,0.5336745594155323,0.4663254405844676,1,Bruno,1,112,307,1,2,2,1,2,2,1,1,0,1.0,He was born on the 1st of January Together with his 3 brothers and 1 sister who was up for adoption too. Kindly contact me for more info if you are interested.
461,d0eb1073d,High,0.5333047341880499,0.46669526581195014,0,ROLAND,1,12,307,1,1,2,2,1,1,1,1,0,1.0,他是被丢在工业区的宝宝，这里两条街大概只狗狗。因为狗狗太多的关系已经惹得店家的厌恶，被报了两次MPSJ，还被追打，狗狗是无辜的，没人想当一只被人厌恶的狗。 如果狗狗不合你们的眼缘，请求大家问问身边的朋友，狗狗会对你们忠心一辈子，永不背叛。感恩。 蒲種区，雪兰莪。..... WHATSAPP
462,1b71de34e,High,0.5332639659268243,0.46673603407317565,0,Nemo & Tigger,2,12,266,1,4,2,1,1,1,1,2,0,5.0,"Hi, I'm looking for a forever home for my two ginger boys, Nemo & Tigger. I have too many cats at home and after much consideration, I've decided to let both brothers go because they're the most affectionate among my many cats and they absolutely love being in the company of people. They're the sort of cats who would drop to the floor when they meet anyone and roll on their backs begging for tummy rubs. They're also very vocal and we've spent many nights and days having such great conversation. They're an absolute delight for companions! They're very attached to one another which is why they can ONLY be adopted together as I can't bear to have the brothers separated. If you have any further enquiries, please don't hesitate to drop me a message on WhatsApp :)"
463,6fef6e555,High,0.5332086269041949,0.4667913730958051,1,Milo,2,12,266,1,2,2,2,1,1,1,1,100,4.0,Kucing jantan umur 1 tahun Bulu sederhana panjang...cantik berkilat Makan tak cerewet dan pandai menggunakan pasir kucing. Biasa dikurung. Manja dan aktif Whatsapp jika berminat untuk memilikinya... Terima kasih
464,1fab6916e,High,0.5331154418366217,0.4668845581633783,1,Patch Boy,2,3,266,1,2,2,1,2,2,1,1,0,0.0,"This kitten was abandoned in our housing area. He was around for a month, before another kitten we acquired (Little Boy Blue) befriended him and brought him into the house. If anyone is interested, pls call or sms me. Gets along very well with the other kitten."
465,6c5f1f0a3,High,0.5330810408094889,0.4669189591905111,0,Denise,1,12,103,1,1,2,2,1,1,1,1,0,10.0,Denise boy is looking for a foever home. If u are interested to adopt pls contact Rachel
466,f0d254628,High,0.5330169778942355,0.4669830221057645,0,Ling Ling,2,8,266,2,1,2,1,1,1,1,1,0,14.0,"Ling Ling (short for Darling) is the most affectionate cat you can have. She sits on your lap in the evenings and place her paw gently on your face, claws retracted (serious!), purring away. Very playful and inquisitive, with big bright eyes and expressive meows whenever you talk to her, Ling Ling makes a great and funny companion. She is easy to pick up as she lets you do it, not like some cats. And she loves the adventure of being underneath the blanket! She also loves climbing into any box you may open. Give her a plastic bag and she'll have a whole night of fun. She's also toilet trained. However, Long Ling is not perfect. She is afraid of strangers at first, but warms up gradually and then becomes affectionate after some time. We have rescued other cats before and she doesn't like them. We think that she might learn to like them if we let those other cats stay longer, but so far we haven't tried. Ling Ling also likes to pull out toilet rolls and tissue paper, so beware!"
467,e9b1363e5,High,0.5330119772799701,0.4669880227200299,0,Bumblebee,2,84,266,1,1,3,1,1,1,1,1,0,5.0,He is a kind and gentle cat
468,d8715d47e,High,0.5329840375173311,0.46701596248266886,0,âª GERBERA âª,2,6,266,2,4,1,1,1,1,1,1,200,6.0,"Adoption fee includes the basic medical expenses of the animal : spaying + 3 vaccinations. GERBERA is a tropical plant of the daisy family, native to Asia and Africa, with large brightly colored flowers. Just like this little kitten that we are fostering - Gerbera, she is as beautiful as the flower. Gerbera was rescued months ago at a food court, she was only a 2 months old baby during that time. Poor little baby was hiding under a car and meowing loudly seeking for help as there were a group of excited dogs wanted to hunt her and they kept running and waiting around the car. With help of some kind people there, we managed to shooed those doggie away and brought her home. Gerbera loves a lot to have companion and friends, she do not like much to be cuddled but she will always stay beside you and ask for a pat and ""massage"", she lovesss a lot when people sayang her. Gerbera is always happy when we're back home, she will always purr when we're at her side. But Gerbera has a habit and we do not know why she has such habit..most of the time when we stand near the window she will quickly run towards the window and climb on the window grill, as if like she's making a performance and telling us that she's good on this (we tried to stop her at the beginning but still..she want to let us know that she's good at this..a spider-cat Gerbera! :P) Gerbera behaves very good on bathing time but she do not like to share her food and toy with her friends. She can eat together with friends if in different bowl but when they re eating same bowl of food, she will be very nervous and lift up her front paw to stop anyone from nearing the bowl but of course she do not bite or hurt anyone.. Interested to adopt? Please kindly read our requirements: - Always keep cat indoor all the time - Agree to bring her for yearly vaccination - Provide balanced meals and fresh water all the time - Allow for home visit - Love and treat her like your own precious family members Please give a home to Gerbera ♥"
469,5b57c4bba,High,0.5329746330159933,0.46702536698400665,1,Cha Belle,2,10,265,2,1,2,2,2,2,1,1,0,1.0,"She's kinda coward in a cute way. Always startled when you poke her. It's so sad for me to give her away, but i already have too many cats. If there is anyone interested to take care of her, do contact me."
470,af86d93ba,High,0.5329181852219737,0.46708181477802635,0,Bingo,1,12,307,2,1,2,1,3,1,1,1,0,2.0,"Bingo was found in subang jaya area and has not been claimed by anyone. I am unable to keep her as I have a cat. Someone has kindly offered her a temporary shelter, however she needs her forever home. A very loving 'smiley' pet."
471,df26f1098,High,0.5327449608282934,0.46725503917170663,0,Woofie,1,3,307,2,2,2,2,3,3,1,1,0,19.0,"I found cute obedient Woofie wandering around in my housing area. Immediately I brought her back to my place and provide her with food, water, and clean shelter. She is very healthy and playful, especially with people and her dog friends. Hopefully she can find a home and receive the love she deserves. Her location is at Tronoh, Perak but outstation adoption can be arranged. If you think you could be the one, please contact me via PM."
472,e84771c5d,High,0.5327372750354511,0.46726272496454896,0,Chameng,2,38,266,2,1,3,1,1,3,1,1,0,1.0,This is my 1st cat named Chameng. My husband found her and took it home. I really hope that some one can adopt her since i'm leaving to Sabah soon and won't be able to bring her along...
473,ee9e87618,High,0.532713615671333,0.467286384328667,1,Cutie Pies,1,3,307,3,1,2,2,3,2,1,4,0,2.0,Cute and intelligent puppies looking for forever home. 3 male 1 female. If u are interested to adopt pls contact Joyceline
474,21bebd773,High,0.5325905815963232,0.4674094184036767,1,Yoshee,1,6,307,2,2,2,1,3,3,1,1,0,5.0,"This dog was found wandering around the Al-Rajhi Bank in SS17 on Thursday morning. One of the bank officers, Pn Rahah, spotted the dog and has been feeding her with dogfood since. The dog has a tag with a name but there is no address or name of owner. If you are the owner, please contact me at my email immediately. Yoshee is a friendly dog. If by 18th May, no one claims her, Yoshee will be adopted by a friend. More info on Yoshee:"
475,c3eefdcd8,High,0.5325519531229818,0.46744804687701824,0,Travis,1,4,307,1,1,2,1,1,1,1,1,200,1.0,"Travis is a sweet, docile and friendly fellah. He makes a wonderful companion or family dog. If you are keen, please call Kin at. Only genuine dog lovers will be considered. Landed property only."
476,38ea54f1f,High,0.5325398584115626,0.46746014158843746,0,Whitey,1,7,307,2,7,2,1,3,1,1,1,0,4.0,"Healthy, playful manja girl looking for a home sweet home.Alrdy spayed and ready for a home."
